id,station_name,address,lat,lon
2,Buckingham Fountain,Buckingham Fountain,41.87647,-87.62034
3,Shedd Aquarium,Shedd Aquarium,41.867226,-87.61535500000001
4,Burnham Harbor,Burnham Harbor,41.856268,-87.613348
5,State St & Harrison St,State St & Harrison St,41.874053,-87.627716
6,Dusable Harbor,Dusable Harbor,41.886976000000004,-87.612813
7,Field Blvd & South Water St,Field Blvd & South Water St,41.886348999999996,-87.617517
9,Leavitt St & Archer Ave,Leavitt St & Archer Ave,41.828792,-87.680604
11,Jeffery Blvd & 71st St,Jeffery Blvd & 71st St,41.766638,-87.57645
12,South Shore Dr & 71st St,South Shore Dr & 71st St,41.766409,-87.565688
13,Wilton Ave & Diversey Pkwy,Wilton Ave & Diversey Pkwy,41.932418,-87.65270500000001
14,Morgan St & 18th St,Morgan St & 18th St,41.858086,-87.651073
15,Racine Ave & 18th St,Racine Ave & 18th St,41.858166,-87.65649499999999
16,Paulina Ave & North Ave,Paulina Ave & North Ave,41.910337,-87.67007199999999
17,Honore St & Division St,Honore St & Division St,41.903119000000004,-87.673935
18,Wacker Dr & Washington St,Wacker Dr & Washington St,41.883132,-87.637321
19,Loomis St & Taylor St (*),Loomis St & Taylor St (*),41.868968,-87.659141
20,Sheffield Ave & Kingsbury St,Sheffield Ave & Kingsbury St,41.910522,-87.65310600000001
21,Aberdeen St & Jackson Blvd,Aberdeen St & Jackson Blvd,41.877726,-87.654787
22,May St & Taylor St,May St & Taylor St,41.869482,-87.655486
23,Orleans St & Elm St (*),Orleans St & Elm St (*),41.902924,-87.637715
24,Fairbanks Ct & Grand Ave,Fairbanks Ct & Grand Ave,41.89186,-87.62062
25,Michigan Ave & Pearson St,Michigan Ave & Pearson St,41.897659999999995,-87.62351
26,McClurg Ct & Illinois St,McClurg Ct & Illinois St,41.890359000000004,-87.617532
27,Larrabee St & North Ave,Larrabee St & North Ave,41.91021,-87.6435
28,Larrabee St & Menomonee St,Larrabee St & Menomonee St,41.91468,-87.64331999999999
29,Noble St & Milwaukee Ave,Noble St & Milwaukee Ave,41.90068,-87.6626
30,Ashland Ave & Augusta Blvd,Ashland Ave & Augusta Blvd,41.899643,-87.6677
31,Franklin St & Chicago Ave,Franklin St & Chicago Ave,41.896776,-87.635633
32,Racine Ave & Congress Pkwy,Racine Ave & Congress Pkwy,41.87464,-87.65703
33,State St & Van Buren St,State St & Van Buren St,41.877181,-87.627844
34,Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,41.926756,-87.634429
35,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,41.892278000000005,-87.612043
36,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,41.877708,-87.63532099999999
37,Dearborn St & Adams St,Dearborn St & Adams St,41.879356,-87.629791
38,Clark St & Lake St,Clark St & Lake St,41.886021,-87.630876
39,Wabash Ave & Adams St,Wabash Ave & Adams St,41.879472,-87.62568900000001
40,LaSalle St & Adams St,LaSalle St & Adams St,41.879344,-87.631985
41,Federal St & Polk St,Federal St & Polk St,41.872078,-87.629544
42,Wabash Ave & Cermak Rd,Wabash Ave & Cermak Rd,41.852619,-87.626488
43,Michigan Ave & Washington St,Michigan Ave & Washington St,41.883893,-87.624649
44,State St & Randolph St,State St & Randolph St,41.88473,-87.627734
45,Michigan Ave & Congress Pkwy,Michigan Ave & Congress Pkwy,41.876243,-87.624426
46,Wells St & Walton St,Wells St & Walton St,41.89993,-87.63443000000001
47,State St & Kinzie St,State St & Kinzie St,41.889187,-87.62775400000001
48,Larrabee St & Kingsbury St,Larrabee St & Kingsbury St,41.897764,-87.642884
49,Dearborn St & Monroe St,Dearborn St & Monroe St,41.88132,-87.629521
50,Clark St & Congress Pkwy,Clark St & Congress Pkwy,41.875933,-87.630585
51,Clark St & Randolph St,Clark St & Randolph St,41.884576,-87.63189
52,Michigan Ave & Lake St,Michigan Ave & Lake St,41.886024,-87.624117
53,Wells St & Huron St,Wells St & Huron St,41.894721999999994,-87.634362
54,Ogden Ave & Chicago Ave,Ogden Ave & Chicago Ave,41.896361999999996,-87.654061
55,Halsted St & Roosevelt Rd,Halsted St & Roosevelt Rd,41.867323999999996,-87.648625
56,Desplaines St & Kinzie St,Desplaines St & Kinzie St,41.888715999999995,-87.644448
57,Clinton St & Roosevelt Rd,Clinton St & Roosevelt Rd,41.867118,-87.641088
58,Marshfield Ave & Cortland St,Marshfield Ave & Cortland St,41.916017,-87.668879
59,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,41.867227,-87.625961
60,Dayton St & North Ave,Dayton St & North Ave,41.910578,-87.649422
61,Wood St & Milwaukee Ave,Wood St & Milwaukee Ave,41.907655,-87.672552
62,McCormick Place,McCormick Place,41.851375,-87.618835
66,Clinton St & Lake St,Clinton St & Lake St,41.885637,-87.641823
67,Sheffield Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,41.925602000000005,-87.653708
68,Clinton St & Tilden St,Clinton St & Tilden St,41.875885,-87.640795
69,Damen Ave & Pierce Ave,Damen Ave & Pierce Ave,41.909396,-87.67769200000001
71,Morgan St & Lake St,Morgan St & Lake St,41.885483,-87.652305
72,Wabash Ave & 16th St,Wabash Ave & 16th St,41.860384,-87.625813
73,Jefferson St & Monroe St,Jefferson St & Monroe St,41.880421999999996,-87.642746
74,Kingsbury St & Erie St,Kingsbury St & Erie St,41.893626,-87.641527
75,Canal St & Jackson Blvd,Canal St & Jackson Blvd,41.877245,-87.63936600000001
76,Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St,41.880958,-87.616743
77,Clinton St & Madison St,Clinton St & Madison St,41.882242,-87.64106600000001
80,Aberdeen St & Monroe St,Aberdeen St & Monroe St,41.880419,-87.655519
81,Daley Center Plaza,Daley Center Plaza,41.884240999999996,-87.629634
84,Milwaukee Ave & Grand Ave,Milwaukee Ave & Grand Ave,41.891578,-87.648384
85,Michigan Ave & Oak St,Michigan Ave & Oak St,41.90096,-87.623777
86,Eckhart Park,Eckhart Park,41.896373,-87.660984
87,Racine Ave & Fullerton Ave,Racine Ave & Fullerton Ave,41.925563000000004,-87.658404
88,Racine Ave & Randolph St,Racine Ave & Randolph St,41.884069000000004,-87.656853
89,Financial Pl & Congress Pkwy (Temp),Financial Pl & Congress Pkwy (Temp),41.874618,-87.632882
90,Millennium Park,Millennium Park,41.881032,-87.624084
91,Clinton St & Washington Blvd,Clinton St & Washington Blvd,41.883379999999995,-87.64116999999999
92,Carpenter St & Huron St,Carpenter St & Huron St,41.894556,-87.653449
93,Sheffield Ave & Willow St,Sheffield Ave & Willow St,41.913688,-87.652855
94,Clark St & Armitage Ave,Clark St & Armitage Ave,41.918306,-87.636282
95,Stony Island Ave & 64th St,Stony Island Ave & 64th St,41.778881,-87.586647
96,Desplaines St & Randolph St,Desplaines St & Randolph St,41.884615999999994,-87.644571
97,Field Museum,Field Museum,41.865312,-87.617867
98,LaSalle St & Washington St,LaSalle St & Washington St,41.882664,-87.63253
99,Lake Shore Dr & Ohio St,Lake Shore Dr & Ohio St,41.89257,-87.614492
100,Orleans St & Merchandise Mart Plaza,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639
101,63rd St Beach,63rd St Beach,41.781015999999994,-87.57611999999999
102,Stony Island Ave & 67th St,Stony Island Ave & 67th St,41.773458000000005,-87.58534
103,Clinton St & Polk St (*),Clinton St & Polk St (*),41.871466999999996,-87.64094899999999
106,State St & Pearson St,State St & Pearson St,41.897448,-87.628722
107,Desplaines St & Jackson Blvd,Desplaines St & Jackson Blvd,41.878287,-87.643909
108,Halsted St & Polk St,Halsted St & Polk St,41.87184,-87.64664
109,900 W Harrison St,900 W Harrison St,41.874753999999996,-87.649807
110,Dearborn St & Erie St,Dearborn St & Erie St,41.893992,-87.62931800000001
111,Sedgwick St & Huron St,Sedgwick St & Huron St,41.894666,-87.638437
112,Green St & Randolph St,Green St & Randolph St,41.883668,-87.64867
113,Bissell St & Armitage Ave,Bissell St & Armitage Ave,41.918440000000004,-87.65222
114,Sheffield Ave & Waveland Ave,Sheffield Ave & Waveland Ave,41.949399,-87.65452900000001
115,Sheffield Ave & Wellington Ave,Sheffield Ave & Wellington Ave,41.936265999999996,-87.652662
116,Western Ave & Winnebago Ave,Western Ave & Winnebago Ave,41.91552,-87.687022
117,Wilton Ave & Belmont Ave,Wilton Ave & Belmont Ave,41.94018,-87.65304
118,Sedgwick St & North Ave,Sedgwick St & North Ave,41.911386,-87.638677
119,Ashland Ave & Lake St (Temp),Ashland Ave & Lake St (Temp),41.88592,-87.66717
120,Wentworth Ave & Cermak Rd (Temp),Wentworth Ave & Cermak Rd (Temp),41.853004999999996,-87.630578
121,Blackstone Ave & Hyde Park Blvd,Blackstone Ave & Hyde Park Blvd,41.802562,-87.59036800000001
122,Ogden Ave & Congress Pkwy,Ogden Ave & Congress Pkwy,41.875009999999996,-87.67328
123,California Ave & Milwaukee Ave,California Ave & Milwaukee Ave,41.922695000000004,-87.697153
124,Damen Ave & Cullerton St,Damen Ave & Cullerton St,41.855048,-87.675726
125,Rush St & Hubbard St,Rush St & Hubbard St,41.890173,-87.62618499999999
126,Clark St & North Ave,Clark St & North Ave,41.911974,-87.63194200000001
127,Lincoln Ave & Fullerton Ave,Lincoln Ave & Fullerton Ave,41.925905,-87.64926
128,Damen Ave & Chicago Ave,Damen Ave & Chicago Ave,41.895769,-87.67721999999999
129,Blue Island Ave & 18th St,Blue Island Ave & 18th St,41.857556,-87.661535
130,Damen Ave & Division St,Damen Ave & Division St,41.903265999999995,-87.678435
131,Lincoln Ave & Belmont Ave,Lincoln Ave & Belmont Ave,41.939365,-87.668385
132,Wentworth Ave & 24th St,Wentworth Ave & 24th St,41.849237,-87.631715
133,Kingsbury St & Kinzie St,Kingsbury St & Kinzie St,41.889177000000004,-87.638506
134,Peoria St & Jackson Blvd,Peoria St & Jackson Blvd,41.877749,-87.649633
135,Halsted St & 21st St,Halsted St & 21st St,41.85378,-87.64665
136,Racine Ave & 13th St,Racine Ave & 13th St,41.865054,-87.656959
137,Morgan Ave & 14th Pl,Morgan Ave & 14th Pl,41.862378,-87.651062
138,Clybourn Ave & Division St,Clybourn Ave & Division St,41.904613,-87.640552
140,Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912
141,Clark St & Lincoln Ave,Clark St & Lincoln Ave,41.915689,-87.6346
142,McClurg Ct & Erie St,McClurg Ct & Erie St,41.894503,-87.61785400000001
143,Sedgwick St & Webster Ave,Sedgwick St & Webster Ave,41.922167,-87.638888
144,Larrabee St & Webster Ave,Larrabee St & Webster Ave,41.921822,-87.64414000000001
145,Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,41.898587,-87.621915
146,Loomis St & Jackson Blvd,Loomis St & Jackson Blvd,41.877945000000004,-87.66200699999999
147,Indiana Ave & 26th St,Indiana Ave & 26th St,41.845687,-87.62248100000001
